code	coordinates
AFG	[33.93911, 67.709953]
ALA	[60.1785, 19.9156]
ALB	[41.1533, 20.1683]
DZA	[28.0339, 1.6596]
ASM	[-14.271, -170.1322]
AND	[42.5063, 1.5218]
AGO	[-11.2027, 17.8739]
AIA	[18.2206, -63.0686]
ATG	[17.0608, -61.7964]
ARG	[-38.416097, -63.616672]
ARM	[40.069099, 45.038189]
ABW	[12.52111, -69.968338]
AUS	[-12.15, 123.02]
AUT	[47.516231, 14.550072]
AZE	[40.143105, 47.576927]
BHS	[25.03428, -77.39628]
BHR	[25.930414, 50.637772]
BGD	[23.684994, 90.356331]
BRB	[13.193887, -59.543198]
BLR	[53.709807, 27.953389]
BEL	[50.503887, 4.469936]
BLZ	[17.189877, -88.49765]
BEN	[9.30769, 2.315834]
BMU	[32.2995, -64.7903]
BTN	[27.514162, 90.433601]
BOL	[-16.2902, -63.5887]
BES	[12.2019, -68.2624]
BIH	[43.9159, 17.6791]
BWA	[-22.3285, 24.6849]
BVT	[-54.4208, 3.3464]
BRA	[-14.235, -51.9253]
IOT	[-6.3432, 71.8765]
BRN	[4.5353, 114.7277]
BGR	[42.733883, 25.48583]
BFA	[12.238333, -1.561593]
MMR	[21.9162, 95.956]
BDI	[-3.3731, 29.9189]
CPV	[16.5388, -23.0418]
KHM	[12.5657, 104.991]
CMR	[7.3697, 12.3547]
CAN	[56.1304, -106.3468]
CYM	[19.3133, -81.2546]
CAF	[6.6111, 20.9394]
TCD	[15.4542, 18.7322]
CHL	[-35.6751, -71.543]
CHN	[35.8617, 104.1954]
CXR	[-10.4475, 105.6904]
CCK	[-12.1642, 96.871]
COL	[4.5709, -74.2973]
COM	[-11.6455, 43.3333]
COG	[-4.0383, 21.7587]
COK	[-21.2367, 159.7777]
CRI	[9.748917, -83.753428]
CIV	[7.5401, -5.5471]
HRV	[45.1, 15.2]
CUB	[21.521757, -77.781167]
CUW	[12.1696, -68.9901]
CYP	[35.095192, 33.20343]
CZE	[49.8175, 15.4729]
COD	[-4.1921, 15.1825]
DNK	[56.2639, 9.5018]
DJI	[11.8251, 42.5903]
DMA	[15.4151, -61.3711]
DOM	[18.7357, -70.1627]
ECU	[-1.8312, -78.1834]
EGY	[26.8206, 30.8025]
SLV	[13.7942, -88.8965]
GNQ	[1.6508, 10.2679]
ERI	[15.1794, 39.7823]
EST	[58.5953, 25.0136]
SWZ	[-26.5225, 31.465]
ETH	[9.1451, 40.4897]
FIN	[61.9241, 25.7482]
FRA	[46.2276, 2.2137]
GEO	[42.3154, 43.3569]
DEU	[51.1657, 10.4515]
GIB	[36.1408, -5.3536]
GRC	[39.0742, 21.8243]
HUN	[47.1625, 19.5033]
ISL	[64.9631, -19.0208]
IRL	[53.1424, -7.6921]
ISR	[31.0461, 34.8516]
ITA	[41.8719, 12.5674]
LVA	[56.8796, 24.6032]
LBN	[33.8547, 35.8623]
LUX	[49.8153, 6.1296]
MDG	[-18.766947, 46.869107]
MWI	[-13.254308, 34.301525]
MYS	[4.210484, 101.975766]
MDV	[3.202778, 73.22068]
MLI	[17.570692, -3.996166]
MLT	[35.9375, 14.3754]
MRT	[21.00789, -10.940835]
MUS	[-20.348404, 57.552152]
MEX	[23.6345, -102.5528]
MCO	[43.750298, 7.412841]
MNG	[46.862496, 103.846656]
MNE	[42.708678, 19.37439]
MAR	[31.7917, -7.0926]
MOZ	[-18.665695, 35.529562]
NAM	[-22.95764, 18.49041]
NRU	[-0.522778, 166.931503]
NPL	[28.394857, 84.124008]
NLD	[52.1326, 5.2913]
NZL	[-40.900557, 174.885971]
NIC	[12.865416, -85.207229]
NER	[17.607789, 8.081666]
NGA	[9.081999, 8.675277]
NOR	[60.472024, 8.468946]
OMN	[21.512583, 55.923255]
PAK	[30.375321, 69.345116]
PLW	[7.51498, 134.58252]
PAN	[8.537981, -80.782127]
PNG	[-6.314993, 143.95555]
PRY	[-23.442503, -58.443832]
PER	[-9.189967, -75.015152]
PHL	[12.879721, 121.774017]
POL	[51.919438, 19.145136]
PRT	[39.399872, -8.224454]
QAT	[25.354826, 51.183884]
ROU	[45.943161, 24.96676]
RWA	[-1.940278, 29.873888]
LCA	[13.909444, -60.978893]
WSM	[-13.759029, -172.104629]
SMR	[43.94236, 12.457777]
SAU	[23.885942, 45.079162]
SEN	[14.497401, -14.452362]
SRB	[44.016521, 21.005859]
SYC	[-4.679574, 55.491977]
SLE	[8.460555, -11.779889]
SGP	[1.352083, 103.819836]
SVK	[48.669026, 19.699024]
SVN	[46.1512, 14.9955]
ZAF	[-30.5595, 22.9375]
KOR	[35.9078, 127.7669]
ESP	[40.4637, -3.7492]
SWE	[60.1282, 18.6435]
CHE	[46.8182, 8.2275]
TWN	[23.68579, 120.89749]
UGA	[1.373333, 32.290275]
UKR	[48.379433, 31.16558]
ARE	[23.424076, 53.847818]
GBR	[55.3781, -3.436]
USA	[37.0902, -95.7129]
URY	[-32.522779, -55.765835]
UZB	[41.377491, 64.585262]
VUT	[-15.376706, 166.959158]
VEN	[6.4238, -66.14542]
